"","City","Scenario","Year","PE","Median","Lower","Upper"
"321","New York City","Status Quo",2023,1188.7460669907,1248.43637730503,911.000957944704,1694.22834780071
"322","New York City","Status Quo",2024,1162.77195073394,1219.83253837519,884.66544205299,1663.8495131374
"323","New York City","Status Quo",2025,1139.60220063788,1195.37331931342,863.889333439491,1637.23613820476
"324","New York City","Status Quo",2026,1118.41431733797,1172.77561797654,845.428218514476,1609.42303254413
"325","New York City","Status Quo",2027,1098.67062661328,1151.11759644102,827.607725931378,1582.60958134066
"326","New York City","Status Quo",2028,1080.01766700081,1131.00723345955,812.729749302027,1558.04807003586
"327","New York City","Status Quo",2029,1062.22079047634,1111.826441907,797.058585047646,1535.91303614299
"328","New York City","Status Quo",2030,1045.12204882364,1093.02599900682,780.971229429684,1511.69415973507
"329","New York City","Status Quo",2031,1028.61320864864,1075.30982854155,765.002917069188,1488.92317213335
"330","New York City","Status Quo",2032,1012.61848359162,1059.16663982912,750.91886968996,1465.14707132635
"331","New York City","Status Quo",2033,997.083465622713,1042.52273346042,735.968993162375,1441.74379438001
"332","New York City","Status Quo",2034,981.967998510805,1026.11907820501,721.486627746049,1418.79496213817
"333","New York City","Status Quo",2035,967.241557881691,1010.59278715645,707.430954483935,1397.79250033809
"334","New York City","Status Quo",2036,952.880229149967,994.503046427373,695.671799651241,1377.43584623049
"335","New York City","Status Quo",2037,938.86470920674,979.509079893069,684.462256294587,1355.96926035155
"336","New York City","Status Quo",2038,925.178968815795,965.354478259665,671.814003565711,1336.12539624208
"337","New York City","Status Quo",2039,911.809345430796,951.193402119974,661.720546654372,1316.70304559466
"338","New York City","Status Quo",2040,898.743919509798,937.379180941385,649.141596840988,1299.19795562567
"339","New York City","Documented",2015,1820.87105059875,1865.78167610073,1633.37506077464,2257.09779066013
"340","New York City","Documented",2016,1685.37401353422,1734.21133837203,1485.04460647733,2144.04653180674
"341","New York City","Documented",2017,1546.68806801631,1603.74866331237,1327.36718682864,2025.79349766952
"342","New York City","Documented",2018,1436.42149046084,1496.75020687372,1194.96183776137,1925.74050243058
"343","New York City","Documented",2019,1358.00651236683,1419.30921468585,1096.46222797932,1855.31232573245
"344","New York City","Documented",2020,1281.44845762735,1342.95641257774,1015.4335907446,1784.28168280835
"345","New York City","Documented",2021,1131.30411318665,1184.55124420198,883.414637226011,1604.03126400325
